email,original_email
ava.jones@unimelb.edu.au,ava.jones@unimelb.edu.au
sana.toronto@yandexx.com,sana.toronto@yandexx.com
@protonmail.com,@protonmail.com
james.mokni@protonmail.com,james.mokni@protonmail.com
sana.ox@163.com,  sana.ox@163.com  
sana.dupont@qq.cmo,sana.dupont@qq.cmo
emma_brown#free.fr,emma_brown#free.fr
bob.smith@mit.deu,bob.smith@mit.deu
sophia.benali@outloook.com,sophia.benali@outloook.com
charlie.black@protonmail.com,charlie.black@protonmail.com
bob_mokni#icloud.com,bob_mokni#icloud.com
charlie.mit@esprit.tn,charlie.mit@esprit.tn
jane.doe@bttinternet.com,jane.doe@bttinternet.com
charlie.smith@utooronto.ca,charlie.smith@utooronto.ca
liam..melb@free.fr,liam..melb@free.fr
liambenali@,liambenali@
sana.brown@free.fr,sana.brown@free.fr
sophia.umichfree.fr,sophia.umichfree.fr
tom.cherif@btinnternet.com,tom.cherif@btinnternet.com
noah.cherif@hotamil.com,noah.cherif@hotamil.com
noah..cherif@utoronto.ca,noah..cherif@utoronto.ca
mia.doe@gmx.ocm,mia.doe@gmx.ocm
mike.smith@comcast.net,mike.smith@comcast.net
jack.free@icloud.com,jack.free@icloud.com
mike.doe@163.com,mike.doe@163.com
ethan.benali@unimelb.edu.au,  ethan.benali@unimelb.edu.au  
sophia.dupont@haarvard.edu,sophia.dupont@haarvard.edu
ava.jones@umich.eud,ava.jones@umich.eud
charlie.benali@126.com,charlie.benali@126.com
amelie.cherificloud.com,amelie.cherificloud.com
john.cam@esprit.tn,JOHN.CAM@ESPRIT.TN
@harvard.edu,@harvard.edu
alice.black@unimelb.edu.au,alice.black@unimelb.edu.au
luc.harvard@gmail.com,luc.harvard@gmail.com
amelie.smith@mail.ru,amelie.smith@mail.ru
