email,original_email,valid,reason
john@smith@gmail.com,john@smith@gmail.com,False,Invalid syntax
sophia@umich.edu.,sophia@umich.edu.,True,Valid syntax; Valid domain
luc.harvard@ox.ac.uk,luc.harvard@ox.a.cuk,True,Valid syntax; Valid domain
sophia.harvard@163.com,sophia.harvard@163c.om,True,Valid syntax; Valid domain
luc.khaled@live.com,luc.khaled@live.com,True,Valid syntax; Valid domain
sophia.doe@163.com,  sophia.doe@163.com  ,True,Valid syntax; Valid domain
olivia.black@protonmail.com,olivia.black@protonmail.com,True,Valid syntax; Valid domain
luc@mit.edu.,luc@mit.edu.,True,Valid syntax; Valid domain
jack.toronto@hotmail.com,jack.toronto@ohtmail.com,True,Valid syntax; Valid domain
mike.toronto163.com,mike.toronto163.com,False,Invalid syntax
jack.ox@free.fr,jack.ox@rfee.fr,True,Valid syntax; Valid domain
sophia.stanford@gmail.com,sophia  stanford@gmail.com,True,Valid syntax; Valid domain
mikedoeumich.edu,mikedoeumich.edu,False,Invalid syntax
luc.stanford@gmx.com,luc.stanford@gmxc.om,True,Valid syntax; Valid domain
sana.cherif@gmx.com,sana.cherif@gmx.com,True,Valid syntax; Valid domain
luc.brown@harvard.edu,luc.brown@harvar.dedu,True,Valid syntax; Valid domain
noah.stanford@163.com,noah.stanford@163.com,True,Valid syntax; Valid domain
mike.free@umich.edu,mike.free@umich.edu,True,Valid syntax; Valid domain
tom.toronto@harvard.edu,tom.toronto@harvard.edu,True,Valid syntax; Valid domain
amelie.cam@aol.com,amelie.cam@aol.com,True,Valid syntax; Valid domain
charlie.stanford@free.fr,charlie.stanford@free.fr,True,Valid syntax; Valid domain
alice..black@hotmail.com,alice..black@hotmail.com,True,Valid syntax; Valid domain
ava..white@utoronto.ca,ava..white@utoronto.ca,True,Valid syntax; Valid domain
olivia.cherif@ox.ac.uk,olivia.cherif@ox.ac.uk,True,Valid syntax; Valid domain
jane.khaled@aol.com,jane.khaled@aol.com,True,Valid syntax; Valid domain
tom.khaled@free.fr,tom.khaled@freee.fr,True,Valid syntax; Valid domain
sana.torontoaol.com,sana.torontoaol.com,False,Invalid syntax
tom.brown@stanford.edu,tom.brown@stanford.edu,True,Valid syntax; Valid domain
mike.cam@unimelb.edu.au,mike.cam@unimebl.edu.au,True,Valid syntax; Valid domain
luc.khaled@orange.fr,luc.khaled@orange.fr,True,Valid syntax; Valid domain
sophia.ox@orange.fr,sophia.ox@orangge.fr,True,Valid syntax; Valid domain
noah.doe@qq.com,noah.doe@qq.ocm,True,Valid syntax; Valid domain
ethan.stanford@mit.edu,ethan.stanford@mit.eud,True,Valid syntax; Valid domain
mia.doe@zoho.com,mia.doe@zoh.ocom,True,Valid syntax; Valid domain
tom.smith@comcast.net,tom.smith@comcast.net,True,Valid syntax; Valid domain
alice.jones@btinternet.com,alice.jones@btinternet.com,True,Valid syntax; Valid domain
emma.cherif@qq.com,EMMA.CHERIF@QQ.COM,True,Valid syntax; Valid domain
james.free@harvard.edu,james.free@harvard.edu,True,Valid syntax; Valid domain
olivia.white@yandex.com,olivia.white@yandex.com,True,Valid syntax; Valid domain
sophia@mit@esprit.tn,sophia@mit@esprit.tn,False,Invalid syntax
mike.benalistanford.edu,mike.benalistanford.edu,False,Invalid syntax
sophia.camhotmail.com,sophia.camhotmail.com,False,Invalid syntax
tom_benali#aol.com,tom_benali#aol.com,False,Invalid syntax
olivia.mokni@gamil.com,olivia.mokni@gamil.com,True,Valid syntax; Valid domain
luc.brown@free.fr,luc.brown@rfee.fr,True,Valid syntax; Valid domain
john.toronto@gmaail.com,john.toronto@gmaail.com,True,Valid syntax; Valid domain
james.white@unimelb.edu.au,james.white@unnimelb.edu.au,True,Valid syntax; Valid domain
sana@khaled@harvard.edu,sana@khaled@harvard.edu,False,Invalid syntax
sana.cherif@qq.com,  sana.cherif@qq.com  ,True,Valid syntax; Valid domain
liam.khaled@live.com,liam.khaled@live.com,True,Valid syntax; Valid domain
luc.jones@ayndex.com,luc.jones@ayndex.com,True,Valid syntax; Valid domain
youssef.umich@126.com,youssef.umich@126.coom,True,Valid syntax; Valid domain
john.cherif@yahoo.com,JOHN.CHERIF@YAHOO.COM,True,Valid syntax; Valid domain
bob.ox@btinternet.com,bob.ox@btinternte.com,True,Valid syntax; Valid domain
emma.black@protonmail.com,emma.black@protonmail.com,True,Valid syntax; Valid domain
mike.melb@protonmail.com,mike.melb@protonmai.lcom,True,Valid syntax; Valid domain
liam@melb@protonmail.com,liam@melb@protonmail.com,False,Invalid syntax
emma.cam@btinternet.com,emma.cam@btinternet.com,True,Valid syntax; Valid domain
olivia@cam@icloud.com,olivia@cam@icloud.com,False,Invalid syntax
emma.toronto@cam.ac.uk,emma.toronto@cam.ac.uk,True,Valid syntax; Valid domain
john.benali@icloud.com,john.benali@iclooud.com,True,Valid syntax; Valid domain
amelie.mit@mail.ru,amelie.mit@mail.ru,True,Valid syntax; Valid domain
emma.dupont@yandex.com,emma.dupont@yandex.com,True,Valid syntax; Valid domain
youssef.umich@outlook.com,  youssef.umich@outlook.com  ,True,Valid syntax; Valid domain
sanabenaliorange.fr,sanabenaliorange.fr,False,Invalid syntax
mia.dupont@zoho.com,mia.dupont@zoho.cmo,True,Valid syntax; Valid domain
john.brown@icloud.com,john.brown@icloud.com,True,Valid syntax; Valid domain
sophia@doe@btinternet.com,sophia@doe@btinternet.com,False,Invalid syntax
tom.khaled@utoronto.ca,tom  khaled@utoronto.ca,True,Valid syntax; Valid domain
charlie.ox@free.fr,CHARLIE.OX@FREE.FR,True,Valid syntax; Valid domain
bob.harvard@icloud.com,bob.harvard@icloud.com,True,Valid syntax; Valid domain
youssef..brown@zoho.com,youssef..brown@zoho.com,True,Valid syntax; Valid domain
james.khaled@comcaast.net,james.khaled@comcaast.net,True,Valid syntax; Valid domain
tom.doe@umich.edu,tom.doe@uumich.edu,True,Valid syntax; Valid domain
alice.cam@free.fr,alice.cam@free.fr,True,Valid syntax; Valid domain
ethan_jones#esprit.tn,ethan_jones#esprit.tn,False,Invalid syntax
mia.brown@aol.com,  mia.brown@aol.com  ,True,Valid syntax; Valid domain
tom.khaled@mgx.com,tom.khaled@mgx.com,True,Valid syntax; Valid domain
olivia.umich@orange.fr,OLIVIA.UMICH@ORANGE.FR,True,Valid syntax; Valid domain
sana@aol.com.,sana@aol.com.,True,Valid syntax; Valid domain
charlie.toronto@free.fr,charlie.toronto@free.fr,True,Valid syntax; Valid domain
jack.ox@sina.com,  jack.ox@sina.com  ,True,Valid syntax; Valid domain
alice.jones@harvard.edu,alice.jones@harvard.eduu,True,Valid syntax; Valid domain
john.umich@qq.com,john.umich@qq.com,True,Valid syntax; Valid domain
olivia.doe@free.fr,olivia.doe@free.fr,True,Valid syntax; Valid domain
youssef.cherif@cam.ac.uk,youssef.cherif@cam.ac.uk,True,Valid syntax; Valid domain
liam.mokni@btinternet.com,liam.mokni@btinternet.com,True,Valid syntax; Valid domain
mike.brown@esprit.tn,mike.brown@esprit.tn,True,Valid syntax; Valid domain
charlie.cam@sina.com,charlie.cam@sina.com,True,Valid syntax; Valid domain
olivia.ox@cam.ac.uk,olivia.ox@cma.ac.uk,True,Valid syntax; Valid domain
bob..melb@mail.ru,bob..melb@mail.ru,True,Valid syntax; Valid domain
mike.khaled@gmail.com,mike.khaled@gmail.com,True,Valid syntax; Valid domain
emma.doe@gmail.com,emma.doe@gmail.com,True,Valid syntax; Valid domain
mia.mokni@zoho.com,mia.mokni@zoho.com,True,Valid syntax; Valid domain
ethan.mokni@umich.edu,ethan.mokni@umiche.du,True,Valid syntax; Valid domain
alice.brown@unimelb.edu.au,alice.brown@unimelb.deu.au,True,Valid syntax; Valid domain
mia.stanford@zoho.com,mia.stanford@zoho.com,True,Valid syntax; Valid domain
olivia.dupont@umich.edu,olivia.dupont@umich.deu,True,Valid syntax; Valid domain
mia.smith@oultook.com,mia.smith@oultook.com,True,Valid syntax; Valid domain
ava.jones@unimelb.edu.au,ava.jones@unimelb.edu.au,True,Valid syntax; Valid domain
sana.toronto@yandex.com,sana.toronto@yandexx.com,True,Valid syntax; Valid domain
@protonmail.com,@protonmail.com,False,Invalid syntax
james.mokni@protonmail.com,james.mokni@protonmail.com,True,Valid syntax; Valid domain
sana.ox@163.com,  sana.ox@163.com  ,True,Valid syntax; Valid domain
sana.dupont@qq.com,sana.dupont@qq.cmo,True,Valid syntax; Valid domain
emma_brown#free.fr,emma_brown#free.fr,False,Invalid syntax
bob.smith@mit.edu,bob.smith@mit.deu,True,Valid syntax; Valid domain
sophia.benali@outloook.com,sophia.benali@outloook.com,True,Valid syntax; Valid domain
charlie.black@protonmail.com,charlie.black@protonmail.com,True,Valid syntax; Valid domain
bob_mokni#icloud.com,bob_mokni#icloud.com,False,Invalid syntax
charlie.mit@esprit.tn,charlie.mit@esprit.tn,True,Valid syntax; Valid domain
jane.doe@bttinternet.com,jane.doe@bttinternet.com,True,Valid syntax; Valid domain
charlie.smith@utoronto.ca,charlie.smith@utooronto.ca,True,Valid syntax; Valid domain
liam..melb@free.fr,liam..melb@free.fr,True,Valid syntax; Valid domain
liambenali@,liambenali@,False,Invalid syntax
sana.brown@free.fr,sana.brown@free.fr,True,Valid syntax; Valid domain
sophia.umichfree.fr,sophia.umichfree.fr,False,Invalid syntax
tom.cherif@btinnternet.com,tom.cherif@btinnternet.com,True,Valid syntax; Valid domain
noah.cherif@hotmail.com,noah.cherif@hotamil.com,True,Valid syntax; Valid domain
noah..cherif@utoronto.ca,noah..cherif@utoronto.ca,True,Valid syntax; Valid domain
mia.doe@gmx.com,mia.doe@gmx.ocm,True,Valid syntax; Valid domain
mike.smith@comcast.net,mike.smith@comcast.net,True,Valid syntax; Valid domain
jack.free@icloud.com,jack.free@icloud.com,True,Valid syntax; Valid domain
mike.doe@163.com,mike.doe@163.com,True,Valid syntax; Valid domain
ethan.benali@unimelb.edu.au,  ethan.benali@unimelb.edu.au  ,True,Valid syntax; Valid domain
sophia.dupont@harvard.edu,sophia.dupont@haarvard.edu,True,Valid syntax; Valid domain
ava.jones@umich.edu,ava.jones@umich.eud,True,Valid syntax; Valid domain
charlie.benali@126.com,charlie.benali@126.com,True,Valid syntax; Valid domain
amelie.cherificloud.com,amelie.cherificloud.com,False,Invalid syntax
john.cam@esprit.tn,JOHN.CAM@ESPRIT.TN,True,Valid syntax; Valid domain
@harvard.edu,@harvard.edu,False,Invalid syntax
alice.black@unimelb.edu.au,alice.black@unimelb.edu.au,True,Valid syntax; Valid domain
luc.harvard@gmail.com,luc.harvard@gmail.com,True,Valid syntax; Valid domain
amelie.smith@mail.ru,amelie.smith@mail.ru,True,Valid syntax; Valid domain
